Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Poss_x,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Age,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG_x,Expected_npxG_x,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG_y,Expected_npxG_y,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,League
5,RB Leipzig,24,13,4,7,53,31,22,43,1.79,44.7,28.1,16.6,0.69,55.8,16607,1400,4931,8099,3735,638,16601,429,211,49.2,168,39.2,10048,49798,26355,490,387,117,348,225,11448,1066,26.3,51,36,87,48,3,6,43,0,44.7,40.0,31.4,71.4,490,1075,51,365,153,41.9,15.21,6.37,0.13,0.31,16.9,13,3,6,44.7,40.0,0.11,6.3,8.0,11509,13971,82.4,200196,68528,5010,5657,88.6,5309,5988,88.7,953,1633,58.4,36,31.4,35.0,4.6,277,835,232,47,1075,643,26.79,465,51,42,41,36,8,83,3.46,59,6,6,7,5,0,388,219,174,170,44,179,354,50.6,175,327,67,260,176,564,427,9,Bundesliga
6,Eint Frankfurt,24,9,10,5,38,31,7,37,1.54,31.1,36.3,-5.2,-0.22,51.5,16079,1911,6026,7331,2880,523,16077,451,199,44.1,231,51.2,9072,44535,21944,391,271,121,392,203,10400,817,25.9,35,26,61,34,1,2,49,4,31.1,30.1,23.7,53.8,391,826,35,249,93,37.3,10.37,3.87,0.14,0.37,16.1,6,1,2,31.1,30.1,0.13,3.9,3.9,10494,13202,79.5,183359,65364,4539,5191,87.4,4866,5633,86.4,858,1706,50.3,26,23.7,22.8,2.3,180,658,172,35,826,427,17.79,306,44,27,32,15,3,60,2.5,46,2,2,8,1,1,430,258,205,170,55,208,376,55.3,168,323,73,250,210,640,547,5,Bundesliga
7,Hoffenheim,23,8,6,9,41,43,-2,30,1.3,37.8,39.7,-1.9,-0.08,49.7,14186,1691,4630,6380,3262,521,14180,369,146,39.6,177,48.0,7700,38986,19783,354,260,97,321,175,8936,943,28.7,40,23,63,34,6,6,65,2,37.8,33.2,25.5,58.7,354,948,40,314,104,33.1,13.65,4.52,0.11,0.33,17.7,14,6,6,37.8,33.2,0.11,2.2,0.8,9028,11490,78.6,164252,65572,3810,4370,87.2,3981,4699,84.7,1005,1806,55.6,23,25.5,27.9,-2.5,232,743,200,54,948,554,24.09,406,46,22,39,31,10,66,2.87,45,1,6,6,6,2,355,213,205,118,32,184,383,48.0,199,271,81,190,230,585,543,6,Bundesliga
8,Werder Bremen,23,8,6,9,32,35,-3,30,1.3,30.9,36.7,-5.8,-0.25,47.0,13776,1726,5251,6108,2574,443,13772,372,175,47.0,167,44.9,7660,39600,19864,326,231,71,362,172,8517,770,27.8,30,22,52,27,3,4,53,0,30.9,27.6,23.9,51.5,326,776,30,261,73,28.0,11.35,3.17,0.1,0.37,17.2,8,3,4,30.9,27.6,0.11,-0.9,-0.6,8599,11137,77.2,159901,61905,3530,4208,83.9,3849,4540,84.8,1056,1803,58.6,22,23.9,26.2,-1.9,210,574,185,52,776,464,20.17,357,32,25,22,21,7,55,2.39,45,1,3,2,4,0,400,240,202,157,41,209,411,50.9,202,300,107,193,182,582,543,7,Bundesliga
9,Freiburg,24,8,6,10,32,44,-12,30,1.25,36.2,36.6,-0.5,-0.02,46.5,14099,1623,4680,6534,2995,468,14092,367,153,41.7,166,45.2,7810,42733,21325,329,274,63,336,158,8746,847,27.5,31,23,54,24,7,7,39,3,36.2,30.7,23.2,53.9,329,858,31,280,97,34.6,11.67,4.04,0.09,0.25,16.0,5,7,7,36.2,30.7,0.12,-5.2,-6.7,8849,11504,76.9,161745,59531,3686,4322,85.3,4022,4722,85.2,940,1840,51.1,23,23.2,24.5,-0.2,208,656,175,61,858,513,21.38,381,42,18,39,26,7,56,2.33,33,5,1,7,8,2,366,202,208,108,50,153,319,48.0,166,314,99,215,198,564,481,3,Bundesliga
10,Augsburg,24,7,8,9,39,41,-2,29,1.21,34.4,38.8,-4.5,-0.19,43.5,12774,1544,4624,5397,2887,539,12767,376,172,45.7,176,46.8,6826,36452,18217,331,211,67,404,166,7255,723,26.6,38,25,63,33,5,7,55,3,34.4,28.9,18.8,47.8,331,735,38,297,92,31.0,12.38,3.83,0.11,0.36,17.2,6,5,7,34.4,28.9,0.1,3.6,4.1,7364,10021,73.5,138836,55672,2909,3513,82.8,3408,4159,81.9,858,1721,49.9,25,18.8,25.4,6.2,208,610,180,63,735,505,21.04,350,52,30,36,29,8,62,2.58,47,4,2,5,4,0,356,218,154,152,50,161,338,47.6,177,310,92,218,206,562,542,7,Bundesliga
11,Heidenheim,24,7,7,10,34,42,-8,28,1.17,28.7,46.9,-18.2,-0.76,42.3,13046,1650,4826,5463,2903,445,13043,378,160,42.3,190,50.3,6411,36856,18123,349,253,61,404,208,7178,718,27.3,32,22,54,30,2,3,39,0,28.7,26.4,18.3,44.6,349,723,32,275,76,27.6,11.46,3.17,0.11,0.39,17.2,9,2,3,28.7,26.4,0.1,3.3,3.6,7251,10154,71.4,145540,61087,2632,3367,78.2,3310,4094,80.9,1128,2036,55.4,22,18.3,20.0,3.7,190,507,135,42,723,451,18.79,293,68,19,38,24,9,53,2.21,32,8,2,5,5,1,418,243,208,165,45,197,428,46.0,231,323,92,231,219,637,549,4,Bundesliga
12,M'Gladbach,24,6,8,10,42,46,-4,26,1.08,34.7,40.7,-6.0,-0.25,46.9,14756,1831,5574,6383,2939,493,14751,396,171,43.2,187,47.2,8426,41761,21111,407,311,106,303,233,9364,873,25.8,41,31,72,37,4,5,48,2,34.7,30.8,25.7,56.5,407,881,41,318,100,31.4,13.25,4.17,0.12,0.37,17.7,4,4,5,34.7,30.8,0.1,6.3,6.2,9449,11866,79.6,162788,59273,4320,4940,87.4,4046,4684,86.4,824,1571,52.5,31,25.7,25.8,5.3,261,583,178,55,881,576,24.0,402,62,35,44,22,11,72,3.0,49,6,4,7,4,2,409,247,211,172,26,199,375,53.1,176,327,123,204,232,641,641,11,Bundesliga
13,Wolfsburg,24,6,7,11,30,39,-9,25,1.04,29.3,32.9,-3.6,-0.15,47.6,14340,1517,4851,6462,3142,472,14337,367,161,43.9,172,46.9,7665,38314,18723,310,208,75,376,176,8990,881,26.2,30,19,49,28,2,3,62,2,29.3,26.8,20.5,47.3,310,889,30,295,109,36.9,12.29,4.54,0.09,0.26,17.4,12,2,3,29.3,26.8,0.09,0.7,1.2,9066,11656,77.8,164735,61500,3843,4434,86.7,4044,4789,84.4,956,1783,53.6,19,20.5,26.6,-1.5,223,682,184,49,889,527,21.96,390,38,29,37,30,3,54,2.25,42,0,2,8,2,0,382,218,191,140,51,191,384,49.7,193,307,76,231,212,594,568,7,Bundesliga
14,Union Berlin,24,7,4,13,23,39,-16,25,1.04,27.2,35.5,-8.2,-0.34,43.6,13456,1588,4930,5739,2928,471,13453,321,135,42.1,166,51.7,6482,33183,16976,270,207,74,403,198,7812,810,28.9,23,16,39,21,2,3,46,5,27.2,24.9,17.0,41.9,270,821,23,282,88,31.2,11.75,3.67,0.07,0.24,16.5,7,2,3,27.2,24.9,0.09,-4.2,-3.9,7889,10607,74.4,146814,61037,3234,3827,84.5,3537,4279,82.7,925,1870,49.5,16,17.0,19.3,-1.0,205,624,157,60,821,493,20.54,350,57,19,34,22,11,42,1.75,26,5,4,2,4,1,377,240,169,163,45,181,348,52.0,167,315,87,228,201,578,577,6,Bundesliga
