Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Poss_x,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Age,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG_x,Expected_npxG_x,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG_y,Expected_npxG_y,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,League
13,Empoli,26,6,7,13,22,40,-18,25,0.96,26.3,34.5,-8.2,-0.31,45.4,13936,1770,5125,5887,3075,453,13932,412,154,37.4,206,50.0,7779,42009,20178,375,267,94,365,217,8385,762,26.6,19,13,32,15,4,4,59,0,26.3,23.3,18.7,42.0,375,766,19,300,86,28.7,11.54,3.31,0.05,0.17,19.3,18,4,4,26.3,23.3,0.08,-7.3,-8.3,8448,11026,76.6,151698,57522,3644,4198,86.8,3696,4383,84.3,884,1809,48.9,13,18.7,17.9,-5.7,213,573,147,48,766,521,20.04,350,65,23,34,39,10,32,1.23,19,2,3,3,5,0,434,262,215,159,60,213,387,55.0,174,317,101,216,191,625,580,6,SerieA
14,Udinese,27,3,15,9,26,41,-15,24,0.89,28.5,35.3,-6.8,-0.25,40.3,12960,1598,4620,5652,2902,439,12957,550,260,47.3,239,43.5,7064,41536,21541,462,324,105,480,246,7350,766,26.4,25,17,42,23,2,3,66,4,28.5,26.5,20.4,47.0,462,773,25,335,106,31.6,12.41,3.93,0.07,0.22,18.7,16,2,3,28.5,26.5,0.08,-3.5,-3.5,7429,9764,76.1,135397,55032,3249,3799,85.5,3071,3730,82.3,891,1678,53.1,17,20.4,18.5,-3.4,247,636,146,62,773,595,22.04,399,64,41,42,36,13,45,1.67,27,3,6,5,4,0,417,271,241,143,33,207,390,53.1,183,285,78,207,250,667,657,7,SerieA
15,Lecce,26,5,9,12,24,43,-19,24,0.92,27.6,40.2,-12.6,-0.49,44.4,13526,1606,4572,6145,2980,452,13522,463,206,44.5,202,43.6,7486,44164,22683,443,297,112,437,271,8034,825,25.6,24,17,41,21,3,4,69,4,27.6,24.4,19.2,43.6,443,834,24,337,97,28.8,12.96,3.73,0.06,0.22,19.5,8,3,4,27.6,24.4,0.07,-3.6,-3.4,8122,10570,76.8,151474,55522,3288,3838,85.7,3584,4211,85.1,1027,1924,53.4,17,19.2,14.8,-2.2,253,646,146,64,834,593,22.81,405,58,41,46,27,16,38,1.46,23,3,2,3,4,3,425,260,197,176,52,201,384,52.3,183,304,77,227,233,658,496,6,SerieA
16,Frosinone,26,6,5,15,34,55,-21,23,0.88,29.8,41.5,-11.7,-0.45,51.1,15518,1934,5500,6775,3381,447,15511,486,205,42.2,237,48.8,8314,42595,20248,359,271,92,401,242,9957,890,24.8,34,21,55,27,7,7,53,2,29.8,24.3,19.7,44.0,359,900,34,290,94,32.4,11.15,3.62,0.09,0.29,18.9,15,7,7,29.8,24.3,0.09,4.2,2.7,10049,12637,79.5,165348,61917,4936,5548,89.0,4000,4745,84.3,792,1620,48.9,21,19.7,16.4,1.3,227,653,192,41,900,500,19.23,350,51,38,26,27,8,59,2.27,35,9,3,2,7,3,387,228,171,159,57,172,373,46.1,201,313,97,216,175,562,546,10,SerieA
17,Hellas Verona,26,4,8,14,23,36,-13,20,0.77,23.7,33.1,-9.4,-0.36,44.3,13020,1543,4537,5985,2661,383,13014,393,182,46.3,173,44.0,7050,39406,18195,387,281,77,409,201,7433,752,26.4,23,17,40,21,2,6,59,4,23.7,18.9,15.1,34.0,387,760,23,285,94,33.0,10.96,3.62,0.07,0.22,18.9,10,2,6,23.7,18.9,0.07,-0.7,2.1,7527,10211,73.7,150239,60040,2844,3468,82.0,3394,4097,82.8,1128,2081,54.2,17,15.1,14.1,1.9,217,659,131,63,760,506,19.46,342,63,27,34,29,11,39,1.5,23,4,3,4,3,2,413,256,212,152,49,201,398,50.5,197,266,83,183,196,609,528,11,SerieA
18,Sassuolo,26,5,5,16,32,54,-22,20,0.77,29.3,43.8,-14.4,-0.55,44.6,13755,1681,4528,5945,3428,491,13748,396,187,47.2,172,43.4,7485,44496,22808,462,338,109,374,232,8555,906,27.0,31,20,51,25,6,7,47,3,29.3,24.1,19.3,43.4,462,912,31,333,108,32.4,12.81,4.15,0.08,0.23,19.3,12,6,7,29.3,24.1,0.07,1.7,0.9,8634,11099,77.8,158835,58023,3622,4167,86.9,3815,4477,85.2,979,1872,52.3,20,19.3,18.6,0.7,254,704,162,41,912,602,23.15,456,43,35,36,23,9,53,2.04,34,4,1,7,6,1,340,205,161,135,44,163,347,47.0,184,285,103,182,177,517,512,10,SerieA
19,Cagliari,26,4,8,14,24,47,-23,20,0.77,27.2,38.0,-10.7,-0.41,43.8,13244,1534,4588,5676,3116,470,13241,340,161,47.4,138,40.6,6790,36439,18518,379,255,75,368,226,7763,788,26.7,23,19,42,22,1,3,54,3,27.2,25.1,19.4,44.5,379,799,23,312,84,26.9,12.0,3.23,0.07,0.26,17.9,13,1,3,27.2,25.1,0.08,-4.2,-3.1,7855,10629,73.9,149819,58939,3289,3853,85.4,3373,4166,81.0,1058,2087,50.7,19,19.4,18.8,-0.4,236,620,191,93,799,561,21.58,395,58,28,36,31,13,40,1.54,26,5,2,4,1,2,365,222,184,137,44,182,361,50.4,179,256,76,180,189,554,521,10,SerieA
20,Salernitana,27,2,8,17,21,54,-33,14,0.52,20.5,51.0,-30.5,-1.13,44.0,13843,1706,4743,6148,3106,408,13842,400,155,38.8,207,51.8,7203,39085,18615,360,283,81,396,223,8291,770,28.1,21,18,39,20,1,1,63,3,20.5,19.7,15.7,35.4,360,769,21,284,83,29.2,10.52,3.07,0.07,0.24,19.1,6,1,1,20.5,19.7,0.07,0.5,0.3,8365,11016,75.9,143567,54095,3959,4530,87.4,3296,4024,81.9,822,1745,47.1,18,15.7,12.8,2.3,223,621,159,54,769,502,18.59,377,51,11,33,22,8,37,1.37,28,3,2,3,1,0,374,232,202,133,39,184,366,50.3,182,279,108,171,200,574,576,9,SerieA
1,Paris S-G,24,16,7,1,54,19,35,55,2.29,49.6,28.0,21.5,0.9,64.9,19768,1664,5176,9622,5151,704,19759,614,299,48.7,271,44.1,15991,81661,39291,626,522,226,360,216,15021,1381,25.5,53,37,90,46,7,9,34,2,49.6,42.4,35.0,77.4,626,1389,53,346,131,37.9,14.42,5.46,0.13,0.35,17.6,12,7,9,49.6,42.4,0.12,3.4,3.6,15147,17142,88.4,258552,76287,6641,7273,91.3,6996,7569,92.4,1082,1551,69.8,37,35.0,32.3,2.0,290,1229,257,35,1389,657,27.37,513,28,54,21,31,10,97,4.04,73,1,9,5,9,0,414,256,174,156,84,206,440,46.8,234,263,86,177,196,610,352,13,Ligue1
2,Brest,23,12,7,4,34,18,16,43,1.87,34.0,24.9,9.1,0.4,52.6,14501,1439,4482,6627,3585,504,14497,514,240,46.7,240,46.7,10070,58664,25831,417,356,80,372,197,9140,890,27.6,33,21,54,29,4,4,54,3,34.0,30.9,23.5,54.5,417,899,33,331,115,34.7,14.39,5.0,0.09,0.25,17.5,7,4,4,34.0,30.9,0.1,-1.0,-1.9,9224,11724,78.7,180171,64036,3570,4198,85.0,3933,4601,85.5,1417,2319,61.1,21,23.5,24.0,-2.5,245,747,190,76,899,574,24.96,399,50,33,44,31,17,54,2.35,36,4,3,8,3,0,473,291,200,211,62,221,501,44.1,280,264,67,197,224,697,433,9,Ligue1
3,Monaco,24,12,6,6,44,34,10,42,1.75,35.3,31.2,4.1,0.17,53.0,15554,1372,4068,7689,3978,585,15550,445,235,52.8,181,40.7,11317,61729,26580,413,416,121,408,226,10188,1184,25.6,43,29,72,42,1,4,59,4,35.3,32.0,23.1,55.1,413,1192,43,349,140,40.1,14.54,5.83,0.12,0.3,17.7,7,1,4,35.3,32.0,0.09,7.7,10.0,10278,12795,80.3,181061,66515,4387,5088,86.2,4558,5310,85.8,991,1731,57.3,29,23.1,29.1,5.9,253,969,245,27,1192,610,25.42,449,52,25,40,25,19,69,2.87,52,3,3,8,2,1,470,294,181,219,70,226,492,45.9,266,300,59,241,280,750,412,11,Ligue1
4,Lille,24,11,8,5,34,20,14,41,1.71,35.5,24.7,10.8,0.45,56.9,16336,1413,4716,8247,3512,529,16334,507,253,49.9,218,43.0,12342,66661,31296,474,389,134,338,217,11493,1036,25.8,32,19,51,31,1,2,44,2,35.5,33.9,25.3,59.1,474,1048,32,319,117,36.7,13.29,4.87,0.1,0.26,17.3,17,1,2,35.5,33.9,0.11,-3.5,-2.9,11626,13784,84.3,197564,63243,5285,5899,89.6,5027,5642,89.1,929,1561,59.5,19,25.3,28.0,-6.3,236,826,202,39,1048,557,23.21,382,48,43,36,35,13,52,2.17,30,5,6,7,4,0,442,286,190,184,68,204,423,48.2,219,230,53,177,217,659,405,8,Ligue1
5,Nice,23,11,7,5,22,15,7,40,1.74,32.4,23.1,9.2,0.4,53.1,15165,1444,4909,7422,3027,520,15161,513,273,53.2,219,42.7,11566,64402,30007,455,420,115,393,238,10628,860,26.6,21,12,33,18,3,4,41,3,32.4,29.2,22.5,51.7,455,873,21,318,100,31.4,13.83,4.35,0.06,0.18,17.1,7,3,4,32.4,29.2,0.1,-11.4,-11.2,10743,12697,84.6,175781,60310,5289,5830,90.7,4367,4918,88.8,732,1319,55.5,12,22.5,20.6,-10.5,231,626,183,56,873,559,24.3,404,43,41,37,21,13,38,1.65,25,2,4,3,4,0,371,212,158,154,59,191,339,56.3,148,265,75,190,194,565,334,6,Ligue1
6,Marseille,24,9,9,6,38,26,12,36,1.5,39.6,21.6,18.0,0.75,54.1,15567,1361,4337,7279,4091,588,15565,400,198,49.5,170,42.5,11418,65206,30742,468,440,118,362,219,10507,1165,28.0,36,27,63,34,2,2,40,4,39.6,38.0,31.3,69.4,468,1168,36,333,107,32.1,13.87,4.46,0.1,0.32,16.6,13,2,2,39.6,38.0,0.12,-3.6,-4.0,10619,12929,82.1,185219,63026,4541,5131,88.5,4841,5534,87.5,878,1578,55.6,27,31.3,30.4,-4.3,252,939,235,61,1168,593,24.71,443,43,37,33,32,5,64,2.67,48,2,2,9,3,0,414,254,183,184,47,204,411,49.6,207,258,71,187,235,649,482,4,Ligue1
7,Lens,23,10,6,7,30,24,6,36,1.57,34.4,31.8,2.7,0.12,52.5,14559,1323,3928,6945,3832,541,14555,325,152,46.8,146,44.9,10727,60853,28036,409,428,77,358,215,9802,1099,27.2,30,19,49,27,3,4,55,4,34.4,31.5,23.6,55.1,409,1108,30,313,112,35.8,13.61,4.87,0.09,0.24,16.5,11,3,4,34.4,31.5,0.1,-4.4,-4.5,9909,12179,81.4,167929,61746,4515,5169,87.3,4124,4763,86.6,856,1475,58.0,19,23.6,27.4,-4.6,235,863,223,57,1108,553,24.04,421,45,23,35,23,6,51,2.22,38,4,3,4,2,0,351,204,138,168,45,178,376,47.3,198,269,72,197,186,537,356,8,Ligue1
8,Rennes,23,9,8,6,35,27,8,35,1.52,35.4,26.4,8.9,0.39,51.5,14546,1509,4566,6640,3490,511,14538,452,230,50.9,190,42.0,10711,61678,29091,378,388,92,347,217,9766,1034,25.9,35,16,51,28,7,8,42,3,35.4,29.1,20.6,49.7,378,1042,35,309,104,33.7,13.43,4.52,0.09,0.27,17.8,12,7,8,35.4,29.1,0.1,-0.4,-1.1,9859,11995,82.2,180914,61580,3835,4403,87.1,4687,5304,88.4,1039,1707,60.9,16,20.6,22.4,-4.6,225,803,203,41,1042,561,24.39,391,45,39,44,29,13,59,2.57,33,1,5,11,7,2,372,222,184,129,59,202,373,54.2,171,262,82,180,239,611,429,4,Ligue1
9,Reims,24,10,4,10,30,32,-2,34,1.42,33.3,29.2,4.0,0.17,52.4,14952,1519,4663,6913,3543,524,14949,492,245,49.8,218,44.3,10445,61366,28832,446,350,109,403,197,9599,1038,26.6,29,21,50,27,2,3,43,1,33.3,30.9,24.8,55.7,446,1051,29,298,92,30.9,12.42,3.83,0.09,0.29,16.8,7,2,3,33.3,30.9,0.11,-4.3,-3.9,9690,12174,79.6,181777,61352,3667,4337,84.6,4595,5241,87.7,1152,1971,58.4,21,24.8,26.2,-3.8,229,804,180,59,1051,523,21.79,382,37,43,42,14,5,52,2.17,39,2,6,1,3,1,442,275,200,181,61,224,451,49.7,227,274,78,196,246,688,455,7,Ligue1
10,Lyon,23,8,4,11,25,35,-10,28,1.22,29.1,34.8,-5.7,-0.25,51.6,14636,1444,4491,6734,3578,546,14634,518,249,48.1,235,45.4,10814,60490,27742,437,373,125,354,235,9836,1037,27.2,24,13,37,22,2,2,41,4,29.1,27.7,21.1,48.8,437,1053,24,283,108,38.2,12.3,4.7,0.08,0.2,17.1,14,2,2,29.1,27.7,0.1,-5.1,-5.7,9938,12130,81.9,172308,60865,4381,5014,87.4,4294,4877,88.0,915,1599,57.2,13,21.1,26.2,-8.1,210,788,201,40,1053,485,21.09,337,46,26,40,28,8,38,1.65,24,1,2,9,2,0,381,229,162,150,69,166,393,42.2,227,232,75,157,208,589,375,9,Ligue1
11,Toulouse,23,6,8,9,25,31,-6,26,1.13,26.5,35.3,-8.8,-0.38,48.4,13671,1468,4238,6528,3053,487,13664,397,199,50.1,171,43.1,9440,51068,23618,361,291,96,337,181,8697,951,24.5,25,17,42,21,4,7,58,0,26.5,21.0,16.7,37.6,361,957,25,265,89,33.6,11.52,3.87,0.08,0.24,17.7,9,4,7,26.5,21.0,0.08,-1.5,0.0,8782,11064,79.4,156437,55822,3748,4390,85.4,3961,4641,85.3,841,1482,56.7,17,16.7,20.0,0.3,197,705,177,43,957,461,20.04,312,41,27,37,27,17,45,1.96,31,5,1,2,6,0,426,252,207,170,49,206,427,48.2,221,300,106,194,207,633,527,4,Ligue1
12,Nantes,23,7,4,12,23,34,-11,25,1.09,26.1,35.8,-9.7,-0.42,45.1,13152,1590,4343,6085,2851,445,13148,309,151,48.9,140,45.3,9311,51050,22786,404,303,98,347,172,8429,858,27.3,23,13,36,20,3,4,40,3,26.1,22.9,16.6,39.5,404,866,23,263,92,35.0,11.43,4.0,0.08,0.22,18.2,12,3,4,26.1,22.9,0.09,-3.1,-2.9,8499,10682,79.6,151759,56642,3622,4119,87.9,3708,4308,86.1,870,1691,51.4,13,16.6,19.3,-3.6,186,685,164,51,866,459,19.96,343,27,26,32,21,10,36,1.57,23,4,1,3,5,0,398,248,205,154,39,208,413,50.4,205,245,69,176,237,635,464,2,Ligue1
13,Strasbourg,23,6,7,10,23,35,-12,25,1.09,27.3,30.7,-3.4,-0.15,43.2,12569,1547,4377,5699,2665,394,12568,431,219,50.8,180,41.8,8741,53231,24377,377,336,69,351,234,7840,773,25.0,21,14,35,20,1,1,41,2,27.3,26.6,21.6,48.1,377,780,21,253,81,32.0,11.0,3.52,0.08,0.25,17.9,8,1,1,27.3,26.6,0.11,-6.3,-6.6,7905,9956,79.4,149811,52446,2941,3461,85.0,3855,4453,86.6,915,1619,56.5,14,21.6,20.5,-7.6,197,583,155,52,780,438,19.04,314,38,29,22,24,11,37,1.61,19,4,3,6,3,2,439,269,222,173,44,222,421,52.7,199,274,78,196,256,695,433,9,Ligue1
14,Le Havre,23,5,9,9,24,30,-6,24,1.04,24.6,36.5,-11.9,-0.52,44.3,12946,1453,4394,5829,2851,410,12942,403,175,43.4,199,49.4,8927,48318,21607,294,310,84,298,207,8065,807,26.6,23,17,40,20,3,4,43,5,24.6,21.5,17.3,38.8,294,811,23,250,75,30.0,10.87,3.26,0.08,0.27,18.2,7,3,4,24.6,21.5,0.09,-1.6,-1.5,8135,10384,78.3,143680,52535,3457,4063,85.1,3599,4182,86.1,769,1533,50.2,17,17.3,16.5,-0.3,191,622,137,40,811,458,19.91,321,44,28,29,28,8,43,1.87,24,3,7,4,5,0,380,223,192,146,42,179,398,45.0,219,260,93,167,243,623,465,5,Ligue1
15,Montpellier,23,5,8,10,25,31,-6,22,0.96,30.7,31.2,-0.5,-0.02,44.3,12517,1490,4321,5554,2803,465,12513,417,200,48.0,187,44.8,8274,48076,23163,381,312,108,366,212,7370,793,27.0,25,17,42,21,4,4,49,1,30.7,27.7,21.4,49.1,381,808,25,310,114,36.8,13.48,4.96,0.07,0.18,19.1,20,4,4,30.7,27.7,0.09,-5.7,-6.7,7455,9848,75.7,137758,55485,3026,3592,84.2,3114,3749,83.1,990,1880,52.7,17,21.4,19.7,-4.4,214,626,144,37,808,531,23.09,350,59,33,36,45,8,40,1.74,25,3,6,4,2,0,427,259,239,128,60,219,490,44.7,271,274,102,172,216,643,500,4,Ligue1
16,Lorient,23,5,7,11,31,44,-13,22,0.96,22.4,34.3,-11.9,-0.52,45.4,13486,1726,4889,6167,2584,334,13486,455,228,50.1,199,43.7,9725,57191,26287,391,311,71,330,188,8786,770,25.5,30,20,50,30,0,0,43,0,22.4,22.4,17.2,39.6,391,807,30,215,82,38.1,9.35,3.57,0.14,0.37,16.8,5,0,0,22.4,22.4,0.1,7.6,7.6,8929,10887,82.0,156226,56169,3870,4395,88.1,3882,4432,87.6,853,1488,57.3,20,17.2,15.9,2.8,160,640,142,29,807,368,16.0,260,34,23,21,22,8,46,2.0,34,1,2,7,1,1,371,224,209,124,38,170,364,46.7,194,271,97,174,236,607,568,7,Ligue1
17,Metz,23,4,5,14,19,37,-18,17,0.74,19.5,36.6,-17.1,-0.74,36.2,10913,1345,3838,4920,2333,303,10910,450,190,42.2,242,53.8,6917,43518,18332,314,306,60,357,188,6031,647,27.3,19,14,33,18,1,3,34,2,19.5,17.1,13.2,30.2,314,654,19,219,71,32.4,9.52,3.09,0.08,0.25,19.7,9,1,3,19.5,17.1,0.08,-0.5,0.9,6084,8219,74.0,123732,47951,2105,2609,80.7,2934,3520,83.4,924,1728,53.5,14,13.2,10.1,0.8,153,493,102,40,654,383,16.65,251,40,23,27,31,11,32,1.39,25,3,2,0,1,1,396,234,202,141,53,169,369,45.8,200,288,83,205,244,640,539,4,Ligue1
18,Clermont Foot,24,3,8,13,17,41,-24,17,0.71,24.6,44.0,-19.4,-0.81,49.1,14727,1686,4925,7181,2765,412,14723,419,181,43.2,213,50.8,10439,61610,28022,394,355,86,376,187,9542,853,27.7,17,13,30,15,2,4,41,6,24.6,21.4,16.9,38.3,394,860,17,276,87,31.5,11.5,3.62,0.05,0.17,18.9,8,2,4,24.6,21.4,0.08,-7.6,-6.4,9621,12045,79.9,172119,60896,4159,4772,87.2,4086,4738,86.2,1034,1921,53.8,13,16.9,17.1,-3.9,205,694,146,40,860,474,19.75,347,42,21,32,28,4,33,1.37,25,3,0,3,2,0,415,259,200,172,43,229,465,49.2,236,273,83,190,249,664,424,13,Ligue1
